Subject,Epoch,StartTime,Electrode,Electrode_Label,Delta,Theta,Alpha,Beta
EPCTL01,2,120,40,FCZ-Ref,0.6307937072338716,0.12413773953198141,0.04456159101851695,0.07847947381236879
EPCTL01,2,120,41,C5-Ref,0.47580388811302554,0.177577934999261,0.0648193518259295,0.11178133600293531
EPCTL01,2,120,42,C1-Ref,0.4455034550615709,0.22770936640183811,0.049690012035270965,0.10847981795249052
EPCTL01,2,120,43,TP11,0.6084085804158377,0.14057458061467656,0.045121330647031326,0.061542706478679134
EPCTL01,2,120,44,TP9-Ref,0.5728731771637202,0.14875466183205932,0.05321226962423277,0.071587127767016
EPCTL01,2,120,45,TP7-Ref,0.48597100649659375,0.16976016458717016,0.06937376930178596,0.10397455424797486
EPCTL01,2,120,46,CP3-Ref,0.4352598242475291,0.20631952890074481,0.06913035046595022,0.12080317185702893
EPCTL01,2,120,47,CP1-Ref,0.42618103685306963,0.2450839383333962,0.06014212914952665,0.10385785552199135
EPCTL01,2,120,48,P11,0.5903041700537047,0.14059555675464605,0.048916732879278155,0.07523078189510861
EPCTL01,2,120,49,P5-Ref,0.486621482625394,0.1839728822036673,0.07113774899222598,0.09607140603992587
EPCTL01,2,120,50,P1-Ref,0.5189887590529502,0.18812856095519623,0.06280813185127836,0.0841310838472647
EPCTL01,2,120,51,PO7-Ref,0.4944146955530724,0.18545169300178468,0.07256581713794341,0.09028245154494548
EPCTL01,2,120,52,PO3-Ref,0.5153375567849686,0.18394318140270727,0.06390809939548994,0.08317547713781556
EPCTL01,2,120,53,POZ-Ref,0.5341937291747639,0.19472892008405546,0.06073566665147175,0.06262651670633529
EPCTL01,2,120,54,OZ-Ref,0.5048262981641582,0.21063560264105002,0.05999050903526171,0.05901827695396878
EPCTL01,2,120,55,FPZ-Ref,0.5397455740910836,0.16400658312619257,0.06966447813862245,0.08545233755188472
EPCTL01,2,120,56,AFZ-Ref,0.5963142442512738,0.1506460149178162,0.06235202397130382,0.07677581608167391
EPCTL01,2,120,57,AF4-Ref,0.5621989832786511,0.16985114094343434,0.06013575644689273,0.08042713785873615
EPCTL01,2,120,58,AF8-Ref,0.5583351474183699,0.17222885037629843,0.051127023147313974,0.07825296171185084
EPCTL01,2,120,59,F2-Ref,0.6360139136152597,0.14007830099078883,0.0473340645900517,0.07149393054486405
EPCTL01,2,120,60,F6-Ref,0.5298133504662104,0.1839508161457505,0.05200778507947525,0.08990393515379805
